page,staff,system,staffgroup,num_ins,ens,ins1,part1,tone1,ins2,part2,tone2,ins3,part3,tone3,ocr
1.0,1,1,1,2.0,,flute,1.0,,flute,2.0,,,,,2 Flauti
,2,1,1,2.0,,oboe,1.0,,oboe,2.0,,,,,2 Oboi
,3,1,1,2.0,,clarinet,1.0,B flat,clarinet,2.0,B flat,,,,2 Clarinetti in B
,4,1,1,2.0,,bassoon,1.0,,bassoon,2.0,,,,,2 Fagotti
,5,1,1,2.0,,horn,1.0,E flat,horn,2.0,E flat,,,,2 Corni in Es
,6,1,1,2.0,,trumpet,1.0,C,trumpet,2.0,C,,,,2 Trombe in C
,7,1,2,2.0,,timpani,,C,timpani,,G,,,,Timpani in C-G
,8,1,3,,,violin,1.0,,,,,,,,Violino I
,9,1,3,,,violin,2.0,,,,,,,,Violino II
,10,1,3,,,trumpet,,,,,,,,,
,11,1,3,,,cello,,,,,,,,,Violoncello
,12,1,3,,,bass,,,,,,,,,Contrabasso
